2,9.5,0,2.75,0,0,0,12.25,0.75,0,0,4,0,0.25,1,0,0,0,0,0,2.75,0,0,0,14,26.25,5.25,1.75,1.5,6,0,0,22.5,0,0,0,0,38,10.75,0,0,0,2,0.166666667,0,0,0,0,0,24.5,45.75,0,0,33.5,0,0,0,1.5,6,16.25,0,0,0,0,0,0,0,2.125,0,0,0,0,10.5,0,1.125,31,6.875,7.625,10.875,1.125,0,2.5,3.25,0
1,22.25,0,0,0,0,0,0,1.75,0,0,0.5,0.25,0,0,0,0,0,0,0,1.5,0,0,3.25,0,0,0,0.25,0.25,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25,0,0,0,0,0,0,0,0,1.25,0,1.5,0,0,2.75,0,4.25,0,0,0,3.75,5.625,5.25,0,0,0.25,29.5,12,16.5,0,8.5,10.125,9,28.375,0,2.25,0,0
20.5,9,0,0.5,0,0,15.5,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,5,68,111.5,43,3,0,38.5,15,9,0,0,0,0,0,68,0,0,281,75,9.5,0,0,0.25,0,0,0,0,104,0,181.5,0,0,18,9,0,0,2,0,10,0,0.5,0,79,0,2,0,0,0,0,0,0,0,4,0,5,26.5,4.25,0,1,0,1.5,0.75
1,0,16.5,29,50,30,83,0,31.5,81.5,38,0,0,0,0,0,38,41,15.5,30.5,17,31.5,10,0,0,0,0,0,1,0,0,0,0,83,53,117,0,0,0.75,0,0,0,4,0.833333333,0,3,2.5,0,0,0,0,0,2.5,0,0,4,0,0,13,0,0,0,0,0,26,0,0,0,0,0,0,15,0,0,0.25,0,0,0,0,0,0,0,0,0
0,0,6.5,77,39,53,95.5,1,21,78,11.5,5,0,0,0,38,0,42.5,24.5,49.5,21,26.5,4,0,0,0,0,6,0,0,0,0,0,95.5,19.5,89,0,0,2.25,0,0,0,8,2.166666667,0,3.5,2.5,0.5,0,0,0,0,14,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,0,0,0,0,0,0,0,0,0.75
0,0,2.25,4.5,0,68.75,25.75,53.25,13.25,6,17.75,0,0,0,0,41,42.5,0,11.5,29.25,10.25,7.5,0,0,7,0,0,0,0,0,0,0,0,20.25,1.5,33,0,0,3.875,0,0,0,3.25,0,0,0,0,0,0,0,0,0,1.25,0,0,0,0,5.75,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,2.75,0,0,0,0,0
23,0,19.25,30.5,0,36,27.75,1.25,0,2.25,24,0,0,0,0,15.5,24.5,11.5,5,2.25,0,8,0,10.5,54.25,22.75,5,12.75,20,13.75,0,0,0,24,16.75,0,0,0,0,0,0,0,53.75,0,0,0,0,0,0,6.25,0,9,9.25,0,0,8.75,0,12.25,8,41.5,0,0,14,0,15.5,1.5,0,0,0,0,0,0,9,0,0,0,0,3.125,5.125,0,0,0,10.75,0.625
0,0,7,2,7.5,29.5,12,0.75,10.25,11.25,1.5,0,0,0,0,30.5,49.5,29.25,2.25,1.75,9.5,14.75,3.25,0,0,0,0,0,0,0,0,0,0,11.5,20.5,116.25,0,0,2.75,0,0,0,0,2.166666667,0.875,3.5,2.25,0.5,0,0,0,0,0,0,0,1.5,17.25,0,7.5,0,0,0,4,0,0,0,0,0,0,0,0,0.25,0,0,1,0,0,0,0,0,0,0,1,0.5
0,3.25,0,0,0,25.25,0,62.75,6,0,0,68,2.75,1.5,0,17,21,10.25,0,9.5,2.5,66.25,0,0,0,4.5,0.75,48.25,0.5,2.75,0,0,0,0.75,12.75,0,0,0,3.125,0,0,0,30,0.833333333,0,2,1.75,0.5,0,0,0.75,0,84.25,0,0,0,6.5,0,0,1.25,0,0,0.25,0,0,0,0,0,0,0,0,0,9.25,0,0,0,1.25,1,2.875,0.5,0,0,2,0
0.5,0,0,37,0,67.75,36.5,20.25,10.25,0,0,33,0,0,0,31.5,26.5,7.5,8,14.75,66.25,3,0,0,0,0.25,0,23.5,0.5,0.25,0,0,0,16.75,0,19.5,0,0,0.875,0,0,0,53.25,0.25,0,0.5,0.75,0,0,0,1.75,0,67.25,0,0,0,0,0,3.5,10.75,0,0,3,0,0,0,0,0,0,0,0,0,6.75,0,0,0,0.125,0.125,0,0,0,0,0,0.125
